"6857779697;""173982014"";""2018-04-27 13:11:52"";""2018-04-27 13:24:05"";""157.253.225.239"";""Login estudiante10664"";"""";"""";"""";""1"";""2"";""2"";""2"";""5"";""5"";""4"";""3"";""4"";""4"";""2"";""3"";""3"";""4"";""4"";""4"";""4"";""6"";""3"";""3"";""3"";""4"";""3"";""3"";""4"";""3"";""3"";""3"";""3"";""1"";""1"";""2"";""5"";""3"";""4"";""3"";""5"";""0"";""2"";""3"";""3"";""4"";""4"";""4"";""4"";""4"";""5"";""4"";""3"";""3"";""3"";""4"";""2"";""3"";""3"";""4"";""5"";""4"";",,
"6857779685;""173982014"";""2018-04-27 13:11:52"";""2018-04-27 13:21:51"";""157.253.172.219"";""Login estudiante13758"";"""";"""";"""";""1"";""4"";""5"";""4"";""4"";""5"";""4"";""4"";""5"";""5"";""5"";""3"";""5"";""5"";""0"";""0"";""4"";""4"";""4"";""4"";""4"";""3"";""3"";""3"";""3"";""4"";""1"";""4"";""5"";""1"";""5"";""5"";""5"";""5"";""1"";""3"";""5"";""5"";""5"";""4"";""4"";""3"";""1"";""4"";""4"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""4"";""5"";""4"";""5"";""5"";""4"";",,
"6857779456;""173982014"";""2018-04-27 13:11:44"";""2018-04-27 13:18:22"";""157.253.220.254"";""Login estudiante13303"";"""";"""";"""";""1"";""2"";""4"";""2"";""4"";""4"";""2"";""4"";""5"";""4"";""5"";""3"";""3"";""3"";""3"";""3"";""3"";""6"";""3"";""3"";""3"";""2"";""2"";""1"";""2"";""4"";""1"";""1"";""5"";""1"";""5"";""5"";""5"";""5"";""1"";""1"";""3"";""3"";""2"";""4"";""4"";""4"";""1"";""3"";""4"";""3"";""4"";""4"";""3"";""3"";""3"";""4"";""3"";""3"";""3"";""4"";""2"";""5"";",,
"6857778328;""173982014"";""2018-04-27 13:11:04"";""2018-04-27 13:17:02"";""157.253.225.60"";""Login estudiante16519"";"""";"""";"""";""1"";""5"";""4"";""4"";""5"";""5"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""6"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""1"";""5"";""5"";""1"";""5"";""5"";""1"";""5"";""3"";""3"";""5"";""5"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""5"";""3"";",,
"6857778045;""173982014"";""2018-04-27 13:10:53"";""2018-04-27 13:18:00"";""157.253.222.213"";""Login estudiante9953"";"""";"""";"""";""1"";""2"";""1"";""3"";""1"";""1"";""2"";""1"";""2"";""2"";""1"";""1"";""1"";""1"";""1"";""1"";""1"";""6"";""3"";""1"";""1"";""2"";""2"";""3"";""1"";""3"";""1"";""4"";""5"";""1"";""5"";""5"";""3"";""5"";""1"";""1"";""3"";""5"";""5"";""3"";""3"";""3"";""3"";""2"";""2"";""2"";""2"";""2"";""2"";""3"";""2"";""2"";""2"";""3"";""3"";""1"";""1"";""1"";",,
"6857777007;""173982014"";""2018-04-27 13:10:18"";""2018-04-27 13:22:20"";""157.253.172.101"";""Login estudiante7860"";"""";"""";"""";""1"";""5"";""4"";""4"";""5"";""5"";""4"";""4"";""5"";""5"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""4"";""3"";""4"";""4"";""3"";""3"";""3"";""5"";""5"";""3"";""5"";""5"";""4"";""4"";""5"";""5"";""5"";""4"";""4"";""5"";""3"";""5"";""5"";""5"";""5"";""4"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""3"";""3"";""3"";""3"";""5"";""5"";""5"";",,
"6857776380;""173982014"";""2018-04-27 13:09:55"";""2018-04-27 13:14:42"";""157.253.175.222"";""Login estudiante8475"";"""";"""";"""";""1"";""5"";""3"";""5"";""5"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""12"";""4"";""4"";""5"";""5"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""2"";""2"";""3"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";",,
"6857775543;""173982014"";""2018-04-27 13:09:25"";""2018-04-27 13:21:05"";""157.253.213.31"";""Login estudiante13424"";"""";"""";"""";""1"";""4"";""4"";""3"";""4"";""4"";""2"";""3"";""4"";""2"";""3"";""2"";""2"";""3"";""2"";""2"";""3"";""8"";""4"";""3"";""2"";""3"";""2"";""2"";""3"";""3"";""1"";""5"";""4"";""1"";""4"";""5"";""3"";""3"";""3"";""3"";""2"";""3"";""4"";""4"";""3"";""4"";""3"";""3"";""3"";""4"";""3"";""4"";""2"";""3"";""3"";""4"";""4"";""4"";""4"";""3"";""4"";""3"";",,
"6857775517;""173982014"";""2018-04-27 13:09:24"";""2018-04-27 13:15:18"";""157.253.227.238"";""Login estudiante11065"";"""";"""";"""";""1"";""4"";""3"";""2"";""5"";""4"";""4"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""1"";""2"";""3"";""0"";""5"";""5"";""5"";""5"";""0"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";",,
"6857774709;""173982014"";""2018-04-27 13:08:55"";""2018-04-27 13:14:21"";""157.253.226.220"";""Login estudiante8486"";"""";"""";"""";""1"";""4"";""3"";""4"";""4"";""4"";""4"";""3"";""4"";""3"";""4"";""4"";""4"";""4"";""4"";""4"";""3"";""7"";""4"";""4"";""4"";""4"";""4"";""3"";""4"";""4"";""1"";""2"";""4"";""2"";""4"";""5"";""3"";""4"";""1"";""1"";""4"";""5"";""5"";""5"";""4"";""3"";""3"";""4"";""5"";""5"";""5"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";""4"";",,
"6857774672;""173982014"";""2018-04-27 13:08:53"";""2018-04-27 13:23:09"";""157.253.172.232"";""Login estudiante9962"";"""";"""";"""";""1"";""5"";""5"";""5"";""5"";""5"";""4"";""4"";""4"";""4"";""4"";""2"";""4"";""5"";""5"";""4"";""3"";""3"";""3"";""4"";""4"";""3"";""3"";""3"";""5"";""5"";""1"";""3"";""5"";""1"";""5"";""5"";""5"";""5"";""3"";""3"";""5"";""5"";""4"";""5"";""4"";""5"";""2"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""4"";""4"";""5"";""5"";""4"";""5"";""5"";",,
"6857613791;""173982014"";""2018-04-27 11:41:42"";""2018-04-27 13:12:41"";""157.253.146.39"";""Login estudiante13788"";"""";"""";"""";""1"";""4"";""5"";""4"";""5"";""5"";""2"";""5"";""5"";""5"";""3"";""5"";""4"";""4"";""4"";""4"";""4"";""5"";""4"";""4"";""4"";""5"";""4"";""3"";""3"";""5"";""3"";""4"";""4"";""4"";""5"";""4"";""1"";""1"";""3"";""5"";""4"";""5"";""4"";""5"";""5"";""5"";""4"";""5"";""5"";""5"";""5"";""5"";""5"";""3"";""3"";""4"";""3"";""3"";""3"";""3"";""5"";""5"";",,
